build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
116478611,218a3d3e9fc76b0f8a55d4ec2a15f433132eaf76,1057,3.0,passed,453,2016-03-16 20:30:00 UTC,116478613,pull_request
116456955,a89e3b0eb66c74bc0483929709ed0cec2dbbd281,1057,3.0,passed,513,2016-03-16 18:57:15 UTC,116456956,pull_request
116421312,31a8b7c1e9ec7692f23f7a277699c31c015f2f0c,1057,3.0,passed,412,2016-03-16 16:26:34 UTC,116421313,pull_request
116227053,acd4fd32d559510bcdcaaa77839011e6cb4f85ee,1057,3.0,passed,497,2016-03-15 20:49:46 UTC,116227054,pull_request
114895035,6f5ce950da23be69c15ced9d3423aa2020b5f3df,,master,passed,1229,2016-03-09 20:47:02 UTC,114895036,114895037,push
114813003,63e0867760f05201b4bb9f848d84e9f87fac12b9,1045,master,passed,1121,2016-03-09 15:18:18 UTC,114813004,114813005,pull_request
113731352,82209f76d8305e4ae10aa0e70f00c534c15e8e5a,,3.0,passed,587,2016-03-04 18:34:13 UTC,113731353,push
113721117,1a101914476c570e28b6dcef3f66759243d95824,,3.0,passed,457,2016-03-04 17:47:47 UTC,113721118,push
113546448,ff5c80d52dd9e279b47ac023414e7ba9e59ed351,1027,3.0,errored,819,2016-03-04 00:33:46 UTC,113546449,pull_request
113543442,52d1c6cad946c331501a9dcd69d48403ee083d3c,1027,3.0,passed,407,2016-03-04 00:12:50 UTC,113543443,pull_request
113271882,2c1676bfa17679ea6e7330c9d8757d6abad14cfd,,master,passed,1121,2016-03-02 23:32:17 UTC,113271883,113271884,push
113268528,ea64d0b6bb24c2887dba34c7d3a902eb6b0a5518,1023,master,passed,1029,2016-03-02 23:14:04 UTC,113268529,113268530,pull_request
112888017,df0856b32383237fdbb672849a20dee9c73c2193,,master,passed,1694,2016-03-01 15:44:33 UTC,112888018,112888019,push
112799593,ca59bc8ee174fa19bb610ead1682ba9871b9a537,1016,master,passed,1184,2016-03-01 08:41:57 UTC,112799595,112799596,pull_request
112738996,85f754e945311cd80c7ed532daf0e1dfd9249da6,1016,master,passed,1024,2016-03-01 00:29:13 UTC,112738997,112738998,pull_request
111766330,82254c239ea0ef0dc1a762b7894ab76297648945,,master,passed,1168,2016-02-25 14:57:39 UTC,111766331,111766332,push
111585162,37b4b7da5ba1ba44798ef0644648d900157487fd,1000,master,passed,1206,2016-02-24 20:43:56 UTC,111585163,111585164,pull_request
111571416,3178434d1e4f75638714b3fe503f8663ed9c220d,,master,passed,1149,2016-02-24 19:44:31 UTC,111571417,111571418,push
111503035,7d4d62e82fc57ef8c9950cab05f7c01b4c77250f,992,master,passed,1101,2016-02-24 15:18:11 UTC,111503036,111503037,pull_request
111350551,e29f37467c8be4762d385799aca96a11e1fbb2f3,992,master,passed,1153,2016-02-23 23:24:57 UTC,111350552,111350553,pull_request
111350370,afe943cdce785db1a3b5fdbc0f7dd2dd51802721,992,master,passed,1212,2016-02-23 23:23:41 UTC,111350371,111350372,pull_request
